Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14946388532493149,10.847765613617749,33993.1738370298,47413.239368141491,30.130699926912659,1486.966820619497,1023.0137321334497
0.44999999999999996,0.44836822407731219,10.840505951703218,34060.301523188653,47516.490934986417,30.202537656821498,1487.032411668358,1023.0721917489568
0.74999999999999989,0.74725388022310424,10.833117020761687,34186.329247963156,47702.14272478113,30.332475035925022,1487.167550875884,1023.1758624526701
1.05,1.0461246275543228,10.835241170850583,34185.345410557573,47697.942435455014,30.329628114241537,1487.1766196925339,1023.1746497422889
1.35,1.344997045335419,10.834682982948351,34170.239626221686,47677.608369636371,30.315108042160372,1487.1620678703314,1023.1648139949824
1.65,1.6438568489149361,10.827517399274022,34287.159803647781,47850.314915125193,30.4359952771888,1487.2871236666033,1023.261414302362
1.9500000000000002,1.9426895993612425,10.819488296197656,34393.185931956948,48009.041401643764,30.546976104569072,1487.3971914126157,1023.3504633683804
2.25,2.2415002037854697,10.812406687646107,34466.174956837705,48120.439457545872,30.624694013885275,1487.4705657882998,1023.4134833398083
2.55,2.5402962425865443,10.805945944133621,34506.037304421508,48184.786624908193,30.669277644231432,1487.5062238472588,1023.4506258854968
2.85,2.8390799027753855,10.796052417359249,34556.405401523669,48268.458486173164,30.727127013875151,1487.5456508054078,1023.4986741945681
3.15,3.1378420655593193,10.78396037389717,34671.531890590006,48445.632524064284,30.850796436563918,1487.6566149211792,1023.5983063415317
3.4499999999999997,3.43657432371734,10.764427389910848,34786.349526238737,48632.610760115196,30.980597912223775,1487.7485033668609,1023.7039882785595
3.75,3.7352643382629518,10.741675223763023,34999.512188785469,48961.767977674244,31.210663736498315,1487.9499264044384,1023.8882551405626
4.05,4.0339060890947458,10.701487670492664,35144.921140531114,49220.527537818052,31.389013599589862,1488.02692811847,1024.0352836582945
4.35,4.3325126256923827,10.679546436422315,35242.235319536878,49387.168335134687,31.504323235650848,1488.0928813738242,1024.1301463792881
4.6499999999999995,4.6310964531393122,10.661001966364212,35299.675307365804,49493.386838458413,31.577252051414558,1488.119781232012,1024.191445740076
4.9499999999999993,4.9296512285808625,10.61733325962347,35429.128452426659,49735.796043705828,31.743715038510548,1488.1700860986539,1024.3298625474238
5.2499999999999991,5.228160463359127,10.592795286521918,35625.590463910383,50046.069966020463,31.960681616230143,1488.3497133400078,1024.5043631495007
5.55,5.5266328434810861,10.577560726760842,35708.758491968714,50184.382743684269,32.056854519305233,1488.4165709050258,1024.5832248822005
5.85,5.8250627308042722,10.535952899814578,35935.444736580408,50562.095292466343,32.319835672672149,1488.5911114220694,1024.7965365871191
6.1499999999999995,6.1234396911215523,10.521099255542442,36110.609141441215,50829.802424831752,32.508131707978436,1488.7708712348508,1024.9471279448474
6.4499999999999993,6.4217790159021124,10.507265099075188,36232.508959521678,51021.261224178852,32.642434353360123,1488.8889892624131,1025.0554958742157
6.7499999999999991,6.7200837109035527,10.486123510973533,36373.7499784572,51250.666992703758,32.802880548096056,1489.0127321413775,1025.1855017668984
7.0499999999999989,7.018362998988863,10.476939836752704,36419.446698864929,51328.337317774829,32.856876188733409,1489.0502832963045,1025.2305140765761
7.35,7.3166311217206887,10.470794217968516,36452.043430242178,51383.179082830611,32.895010619639535,1489.079471556104,1025.2626460315989
7.6499999999999995,7.6148923878627572,10.465082816478429,36463.717780103216,51407.9129164768,32.911763343569952,1489.0843179635538,1025.2780411463375
7.9499999999999993,7.9131501900599108,10.46203622509446,36469.956537680504,51421.125829025004,32.920652294351221,1489.089148490621,1025.2868504357637
8.25,8.2114050796419491,10.46020590150032,36481.129627380811,51439.534401910081,32.933396743863717,1489.1029881974887,1025.2984556697377
8.5499999999999989,8.5096575908093968,10.461035205480673,36487.017125644117,51446.632781894754,32.938427142342306,1489.116975326127,1025.3035924375188
8.85,8.80790910178161,10.46183051520245,36489.023995650423,51448.30859761683,32.93959151751821,1489.126158917938,1025.3057220825117
9.1499999999999986,9.1061603087644425,10.461298094949981,36487.26843225523,51446.605725709967,32.938179873351039,1489.1274854154,1025.3060721682546
9.45,9.4044109944107266,10.460119276561546,36488.971890335961,51450.717925890443,32.940826765531689,1489.13142088052,1025.3096961904446
9.75,9.70266126592416,10.461448937582219,36488.361916127658,51447.9286793286,32.938879700213491,1489.1387428097262,1025.3093091982573
10.049999999999999,10.000911505179671,10.462768377771134,36489.51090110861,51447.634477376363,32.938708176093535,1489.1481785565591,1025.3103076514406
