 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	73	20.110	12.151	1	46	56.527	3841	6	13	13	10.521	8.835	9.762	0.287	1.191	0.840	0.555
2	18	23.722	13.529	4	48	16.728	1136	9	5	6	6.268	3.657	121.500	0.808	1.714	0.583	0.783
3	159	22.704	12.176	1	55	65.698	1233	25	11	23	19.896	10.175	96.715	0.463	1.955	0.511	0.785
4	62	20.210	10.699	2	42	38.385	383	70	8	15	11.565	6.826	96.987	0.529	1.694	0.590	0.752
5	21	18.476	9.553	0	39	19.899	199	106	5	7	6.436	4.155	100.197	0.666	1.549	0.646	0.778
6	294	28.190	14.104	0	66	85.841	2396	108	16	33	29.680	12.612	73.138	0.501	2.353	0.425	0.818
7	37	20.784	8.111	5	38	24.142	1846	111	7	8	7.538	6.249	96.290	0.798	1.206	0.829	0.841
8	45	14.111	7.117	2	32	35.799	3536	115	9	12	9.228	6.209	115.347	0.441	1.486	0.673	0.638
9	195	28.431	13.074	1	56	69.012	3374	120	15	23	19.240	12.904	82.394	0.515	1.491	0.671	0.769
10	117	21.564	10.678	3	55	58.284	1342	127	9	23	23.221	6.415	97.258	0.433	3.620	0.276	0.755
11	543	26.794	13.213	1	77	127.640	2569	132	22	51	43.728	15.811	87.001	0.419	2.766	0.362	0.763
12	55	16.800	6.908	4	34	40.042	3282	174	10	14	10.031	6.981	102.974	0.431	1.437	0.696	0.632
13	551	21.363	10.164	1	71	140.610	738	186	24	44	36.578	19.180	80.065	0.350	1.907	0.524	0.763
14	160	15.550	7.906	2	38	71.012	598	220	15	23	21.407	9.516	105.546	0.399	2.250	0.445	0.699
15	82	17.073	9.500	1	46	48.870	509	229	9	18	14.681	7.112	93.236	0.431	2.064	0.484	0.695
16	118	28.127	13.346	2	64	52.770	3749	251	12	20	15.258	9.847	95.418	0.533	1.549	0.645	0.752
17	73	23.096	9.191	4	43	40.385	3255	277	8	15	13.542	6.864	85.317	0.562	1.973	0.507	0.772
18	217	39.968	14.519	6	72	60.770	1738	281	15	22	22.302	12.389	113.742	0.738	1.800	0.555	0.882
19	86	15.907	8.558	2	41	55.113	143	323	16	12	14.297	7.659	148.210	0.356	1.867	0.536	0.628
20	1120	31.446	17.582	2	92	174.167	62	333	32	63	57.490	24.805	102.780	0.464	2.318	0.431	0.848
21	104	17.913	7.898	3	39	44.627	2909	333	10	17	16.457	8.046	84.756	0.656	2.045	0.489	0.816
22	41	17.098	6.568	6	29	34.627	1365	337	7	12	9.782	5.337	94.289	0.430	1.833	0.546	0.636
23	160	36.419	16.591	4	84	53.941	2083	380	14	19	18.243	11.167	100.308	0.691	1.634	0.612	0.804
24	52	20.115	7.045	7	36	40.870	1441	390	8	14	11.314	5.852	99.203	0.391	1.933	0.517	0.619
25	52	17.462	10.151	1	47	29.799	3497	428	10	9	9.809	6.750	120.318	0.736	1.453	0.688	0.776
26	241	29.104	13.519	1	65	68.184	159	440	16	23	22.422	13.685	114.957	0.651	1.638	0.610	0.853
27	55	20.545	8.621	4	48	36.971	672	446	7	15	14.815	4.727	97.612	0.506	3.134	0.319	0.728
28	210	14.719	8.313	0	45	73.012	3984	460	15	25	22.550	11.857	84.223	0.495	1.902	0.526	0.718
29	433	42.554	17.188	2	101	89.255	687	496	25	28	26.871	20.517	114.712	0.683	1.310	0.764	0.843
30	56	20.804	10.942	3	45	35.556	1149	528	9	12	10.005	7.126	92.666	0.557	1.404	0.712	0.723
31	243	31.844	14.216	1	74	74.527	19	545	14	29	28.967	10.681	102.871	0.550	2.712	0.369	0.853
32	34	24.353	11.436	4	48	32.971	3319	555	5	13	10.607	4.081	96.912	0.393	2.599	0.385	0.660
33	235	25.430	12.729	1	61	71.598	463	559	16	26	23.361	12.808	108.937	0.576	1.824	0.548	0.805
34	245	29.571	12.149	1	55	80.184	3622	623	15	27	22.801	13.681	84.828	0.479	1.667	0.600	0.803
35	127	34.268	12.311	5	61	46.870	2205	650	10	17	17.094	9.460	91.795	0.726	1.807	0.553	0.855
36	32	15.625	7.214	4	28	26.385	2029	657	7	9	8.904	4.576	110.143	0.578	1.946	0.514	0.711
37	60	21.150	9.004	4	43	35.213	3075	661	7	14	13.844	5.518	91.754	0.608	2.509	0.399	0.774
