 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	5104	34.570	21.515	0	126	351.220	841	1	89	96	93.628	69.409	104.299	0.520	1.349	0.741	0.862
2	97	19.619	8.494	2	36	41.799	1990	1	15	10	12.871	9.595	20.138	0.698	1.341	0.745	0.843
3	280	36.646	15.120	4	74	79.012	2800	1	16	28	26.703	13.351	78.864	0.564	2.000	0.500	0.830
4	86	20.465	9.320	2	43	43.698	2750	28	9	15	13.948	7.851	89.992	0.566	1.777	0.563	0.745
5	179	21.531	9.270	1	55	61.012	838	43	17	20	21.394	10.653	52.383	0.604	2.008	0.498	0.801
6	50	19.260	9.878	2	45	30.971	3970	47	7	12	10.639	5.984	80.347	0.655	1.778	0.562	0.787
7	5235	29.172	15.103	0	84	336.919	1808	66	83	93	88.762	75.093	70.095	0.580	1.182	0.846	0.922
8	171	23.912	11.667	0	63	51.941	1108	73	15	18	17.566	12.395	85.387	0.796	1.417	0.706	0.855
9	1009	37.542	16.422	1	84	162.409	839	83	44	37	43.876	29.280	170.654	0.481	1.499	0.667	0.779
10	448	30.482	14.184	1	74	110.811	512	85	26	33	33.360	17.099	59.829	0.458	1.951	0.513	0.823
11	196	40.827	14.868	6	74	56.527	3196	88	15	19	18.558	13.448	87.768	0.771	1.380	0.725	0.856
12	59	21.949	10.323	2	43	40.042	1052	103	11	10	10.875	6.908	53.163	0.462	1.574	0.635	0.698
13	66	29.242	12.072	4	56	36.627	2727	116	8	15	14.049	5.982	76.453	0.618	2.349	0.426	0.790
14	19	24.526	8.140	7	44	22.971	1621	122	7	7	5.673	4.264	143.294	0.453	1.330	0.752	0.559
15	10629	27.173	15.853	0	105	639.352	2267	124	133	127	134.512	100.610	24.879	0.327	1.337	0.748	0.799
16	351	27.863	12.527	2	63	92.912	2963	154	26	23	22.865	19.545	10.221	0.511	1.170	0.855	0.799
17	51	18.431	8.967	2	38	33.799	3845	224	7	13	12.914	5.028	74.348	0.561	2.568	0.389	0.745
18	118	16.873	9.429	0	41	42.870	44	251	11	16	14.741	10.192	92.005	0.807	1.446	0.691	0.864
19	40	24.325	13.141	2	60	27.556	3318	259	6	10	9.885	5.152	87.292	0.662	1.919	0.521	0.800
20	2092	36.142	17.407	0	100	203.622	1139	263	53	58	59.295	44.922	58.574	0.634	1.320	0.758	0.906
21	21	10.429	4.966	2	21	18.142	2222	264	5	7	5.970	4.479	94.825	0.802	1.333	0.750	0.778
22	30	21.167	10.866	3	48	28.728	1737	265	5	12	9.854	3.876	73.189	0.457	2.542	0.393	0.714
23	2652	37.579	23.531	1	131	235.522	2101	328	47	88	78.283	43.134	93.510	0.601	1.815	0.551	0.911
24	243	13.955	7.306	1	33	74.669	3021	341	18	23	19.851	15.586	107.029	0.548	1.274	0.785	0.799
25	35	17.371	11.011	2	47	23.556	131	343	7	8	7.558	5.896	74.686	0.793	1.282	0.780	0.795
26	47	11.660	7.408	0	32	39.213	3540	356	7	14	11.335	5.280	98.917	0.384	2.147	0.466	0.648
27	34	13.618	7.011	2	30	27.799	3548	361	7	10	9.026	4.796	81.065	0.553	1.882	0.531	0.673
28	124	23.637	11.566	1	49	49.941	853	364	13	17	13.747	11.485	91.270	0.625	1.197	0.835	0.780
29	46	17.783	8.929	4	40	31.213	3343	367	8	10	8.497	6.893	90.534	0.593	1.233	0.811	0.736
30	3465	25.491	14.054	0	81	312.291	2226	370	58	103	98.437	44.818	73.908	0.446	2.196	0.455	0.885
31	268	25.787	12.199	0	70	81.983	558	375	18	26	23.944	14.251	79.265	0.501	1.680	0.595	0.804
32	103	23.194	10.573	1	48	45.113	989	376	10	17	16.089	8.151	80.753	0.636	1.974	0.507	0.808
33	35	20.257	10.885	1	37	26.971	840	395	6	10	9.692	4.598	79.433	0.605	2.108	0.474	0.729
34	57	22.246	10.075	4	44	37.799	3560	399	7	14	12.496	5.808	97.463	0.501	2.152	0.465	0.722
35	16	12.875	5.830	1	21	22.142	3553	414	4	7	6.999	2.911	91.526	0.410	2.405	0.416	0.582
36	87	17.241	9.609	1	40	39.456	2199	422	11	14	13.970	7.930	67.635	0.702	1.762	0.568	0.798
37	34	23.324	10.848	7	52	25.556	1418	435	5	10	9.259	4.675	82.406	0.654	1.980	0.505	0.782
38	399	78.905	24.930	13	143	79.598	1419	443	19	29	27.873	18.226	70.013	0.791	1.529	0.654	0.915
39	294	32.418	13.328	2	69	73.255	2600	454	17	27	25.977	14.410	96.839	0.688	1.803	0.555	0.866
40	249	34.193	13.338	0	76	67.598	2824	468	14	25	25.330	12.516	92.776	0.685	2.024	0.494	0.877
41	162	38.920	15.050	1	75	55.113	3438	471	13	20	19.806	10.414	77.919	0.670	1.902	0.526	0.846
42	39	23.615	10.801	5	46	28.971	1729	488	6	11	10.417	4.767	85.375	0.584	2.185	0.458	0.743
43	108	42.037	14.228	10	77	43.456	3200	490	10	17	16.979	8.099	80.976	0.719	2.096	0.477	0.837
44	24	12.792	5.167	4	21	18.728	2603	511	5	7	6.418	4.761	83.137	0.860	1.348	0.742	0.828
45	4677	39.587	22.390	0	132	481.286	1380	515	73	145	124.517	47.824	105.564	0.254	2.604	0.384	0.684
46	2107	21.673	11.318	1	66	245.078	2944	516	47	82	71.186	37.686	86.996	0.441	1.889	0.529	0.823
47	150	28.873	10.911	3	49	56.527	3437	523	14	17	15.837	12.059	76.415	0.590	1.313	0.761	0.783
48	439	26.670	11.712	2	62	94.912	782	526	25	29	27.026	20.682	136.847	0.612	1.307	0.765	0.809
49	26	17.385	9.596	4	43	34.042	3208	529	9	9	8.532	3.880	131.977	0.282	2.199	0.455	0.464
50	258	20.035	8.799	1	48	71.598	3933	545	22	18	21.790	15.076	12.367	0.632	1.445	0.692	0.805
